object_id,title,description,creator,period,medium,dimensions,location,credit,thumbnail,iiif_manifest
venezuela-map,"AMERICA, QVAE EST GEOGRAPHIAE BLAVIANAE PARS QVINTA, LIBER VNVS, VOLVMEN VNDECIMVM. [Printer's mark 'Indefessus Agendo']. AMSTELAEDAMI, Labore & Sumptibus IOANNIS BLAEV, MDCLXII","Historical map of Venezuela","Blaeu, Joan, 1596-1673",1662,,,,David Rumsey Historical Map Collection ,,https://www.davidrumsey.com/luna/servlet/iiif/m/RUMSEY~8~1~353905~90120929/manifest
welser_b,Bartholomäus Welser,,,,,,,Herzog Anton Ulrich-Museum Museumstr. 1 38100 Braunschweig 0531 / 12 25 24 09. Collection: Kupferstichkabinett,Herzog Anton Ulrich-Museum,https://nds.museum-digital.de/object/65973
